Enzyme1	Enzyme2
BMPR1A	ACTR2B
BMPR1APS1	ACTR2B
BMPR1APS2	ACTR2B
BMPR1B	ACTR2B
BMPR2	ACTR2B
MISR2	ACTR2B
TGFBR1	ACTR2B
TGFBR2	ACTR2B
AAK1	ADCK1
ABL1	ADCK1
ADCK2	ADCK1
ADCK3	ADCK1
ADCK4	ADCK1
ADCK5	ADCK1
ATM	ADCK1
BAZ1B	ADCK1
BCKDK	ADCK1
BCR	ADCK1
BMPR1A	ADCK1
BRAF	ADCK1
BRD4	ADCK1
CAMK2A	ADCK1
CAMK2D	ADCK1
CAMK2G	ADCK1
CASK	ADCK1
CDC7	ADCK1
CDK16	ADCK1
CDK2	ADCK1
CDK4	ADCK1
CDK9	ADCK1
CLK4	ADCK1
COL4A3BP	ADCK1
DAPK1	ADCK1
DDR2	ADCK1
DYRK1A	ADCK1
EEF2K	ADCK1
EPHA4	ADCK1
EPHB4	ADCK1
ERBB2	ADCK1
FASTK	ADCK1
FER	ADCK1
FGFR1	ADCK1
FLT3	ADCK1
FLT4	ADCK1
FYN	ADCK1
GSK3B	ADCK1
HIPK1	ADCK1
HIPK2	ADCK1
ICK	ADCK1
IGF1R	ADCK1
INSR	ADCK1
IRAK1	ADCK1
JAK2	ADCK1
KIT	ADCK1
KSR1	ADCK1
LATS2	ADCK1
LIMK1	ADCK1
MAP2K7	ADCK1
MAP3K1	ADCK1
MAP3K4	ADCK1
MAP3K5	ADCK1
MAPKAPK2	ADCK1
NEK3	ADCK1
NEK6	ADCK1
NEK7	ADCK1
OSR1	ADCK1
PAK1	ADCK1
PAK3	ADCK1
PASK	ADCK1
PBK	ADCK1
PDGFRA	ADCK1
PDGFRB	ADCK1
PDK1	ADCK1
PIK3CD	ADCK1
PIM1	ADCK1
PIM2	ADCK1
PLK4	ADCK1
PSKH1	ADCK1
RAF1	ADCK1
RET	ADCK1
RIPK1	ADCK1
ROCK1	ADCK1
ROCK2	ADCK1
ROR1	ADCK1
RYK	ADCK1
SGK196	ADCK1
SLK	ADCK1
SPEG	ADCK1
SRPK2	ADCK1
SYK	ADCK1
TNIK	ADCK1
TRIO	ADCK1
VRK3	ADCK1
WEE1	ADCK1
ZAP70	ADCK1
ADCK1	ADCK2
ADCK3	ADCK2
ADCK4	ADCK2
ADCK5	ADCK2
ARAF	ADCK2
BAZ1B	ADCK2
BCKDK	ADCK2
BLK	ADCK2
BLVRA	ADCK2
BMPR1A	ADCK2
BTK	ADCK2
BUB1	ADCK2
CDC7	ADCK2
CDK13	ADCK2
CDK14	ADCK2
CDK19	ADCK2
CDK20	ADCK2
CDK4	ADCK2
CDK6	ADCK2
DAPK1	ADCK2
ERBB2	ADCK2
FGR	ADCK2
FLT1	ADCK2
FLT3	ADCK2
FRK	ADCK2
FYN	ADCK2
GCK	ADCK2
GSK3A	ADCK2
GTF2F1	ADCK2
HIPK1	ADCK2
HSPA5	ADCK2
IGF1R	ADCK2
INSR	ADCK2
JAK2	ADCK2
KSR1	ADCK2
LCK	ADCK2
LIMK2	ADCK2
MAP2K6	ADCK2
MAP3K1	ADCK2
MAP4K4	ADCK2
MARK4	ADCK2
MAST1	ADCK2
MAST2	ADCK2
MASTL	ADCK2
MELK	ADCK2
MET	ADCK2
MLKL	ADCK2
NEK2	ADCK2
NEK6	ADCK2
PAK2	ADCK2
PASK	ADCK2
PDGFRA	ADCK2
PDK1	ADCK2
PIKFYVE	ADCK2
PIM3	ADCK2
PLK1	ADCK2
PLK4	ADCK2
RAF1	ADCK2
RIOK1	ADCK2
RIOK3	ADCK2
RIPK3	ADCK2
SGK196	ADCK2
SGK223	ADCK2
SGK3	ADCK2
WEE1	ADCK2
AAK1	ADCK3
ABL1	ADCK3
ACTR2	ADCK3
ADCK1	ADCK3
ADCK2	ADCK3
ADCK4	ADCK3
ADCK5	ADCK3
AKT1	ADCK3
AKT2	ADCK3
AKT3	ADCK3
ALK	ADCK3
ATM	ADCK3
ATR	ADCK3
AXL	ADCK3
BAZ1B	ADCK3
BCKDK	ADCK3
BCR	ADCK3
BMPR1A	ADCK3
BRAF	ADCK3
BRD2	ADCK3
BRD3	ADCK3
BRD4	ADCK3
BRSK1	ADCK3
BRSK2	ADCK3
BTK	ADCK3
BUB1	ADCK3
CAMK1D	ADCK3
CAMK2B	ADCK3
CAMK2D	ADCK3
CAMK2G	ADCK3
CAMK4	ADCK3
CASK	ADCK3
CDC7	ADCK3
CDK10	ADCK3
CDK11A	ADCK3
CDK11B	ADCK3
CDK12	ADCK3
CDK13	ADCK3
CDK14	ADCK3
CDK16	ADCK3
CDK19	ADCK3
CDK2	ADCK3
CDK3	ADCK3
CDK4	ADCK3
CDK5	ADCK3
CDK6	ADCK3
CDK7	ADCK3
CDK8	ADCK3
CDK9	ADCK3
CDKL3	ADCK3
CDKL4	ADCK3
CDKL5	ADCK3
CLK1	ADCK3
CLK3	ADCK3
CLK4	ADCK3
COL4A3BP	ADCK3
CSK	ADCK3
DAPK1	ADCK3
DAPK2	ADCK3
DAPK3	ADCK3
DDR1	ADCK3
DDR2	ADCK3
DYRK1A	ADCK3
DYRK2	ADCK3
DYRK3	ADCK3
EEF2K	ADCK3
EGFR	ADCK3
